category,vendor_product,matched_tokens,n_new_cves,covered_elsewhere_slug,risk_flags,sample_cves,sample_descriptions
hub,symantec:clientless_vpn_gateway_4400,gateway,4,,broad-token|non-consumer-vendor,CVE-2004-0079|CVE-2004-0081|CVE-2004-0112,"The do_change_cipher_spec function in OpenSSL 0.9.6c to 0.9.6k, and 0.9.7a to 0.9.7c, allows remote attackers to cause a denial of service (crash) via|OpenSSL 0.9.6 before 0.9.6d does not properly handle unknown message types, which allows remote attackers to cause a denial of service (infinite loop)|The SSL/TLS handshaking code in OpenSSL 0.9.7a, 0.9.7b, and 0.9.7c, when using Kerberos ciphersuites, does not properly check the length of Kerberos t"
hub,adcon:a840_telemetry_gateway_base_station_firmware,gateway,4,,broad-token,CVE-2015-7930|CVE-2015-7931|CVE-2015-7932,"Adcon Telemetry A840 Telemetry Gateway Base Station has hardcoded credentials, which allows remote attackers to obtain administrative access via unspe|The Java client in Adcon Telemetry A840 Telemetry Gateway Base Station does not authenticate the station device, which allows man-in-the-middle attack|Adcon Telemetry A840 Telemetry Gateway Base Station allows remote attackers to obtain sensitive information by sniffing the network."
hub,hitachienergy:txpert_hub_coretec_4_firmware,hub,4,,non-consumer-vendor,CVE-2021-35530|CVE-2021-35531|CVE-2021-35532,"A vulnerability in the application authentication and authorization mechanism in Hitachi Energy's TXpert Hub CoreTec 4, that depends on a token valida|Improper Input Validation vulnerability in a particular configuration setting field of Hitachi Energy TXpert Hub CoreTec 4 product, allows an attacker|A vulnerability exists in the file upload validation part of Hitachi Energy TXpert Hub CoreTec 4 product. The vulnerability allows an attacker or mali"
hub,hitachienergy:txpert_hub_coretec_4,hub,4,,non-consumer-vendor,CVE-2021-35530|CVE-2021-35531|CVE-2021-35532,"A vulnerability in the application authentication and authorization mechanism in Hitachi Energy's TXpert Hub CoreTec 4, that depends on a token valida|Improper Input Validation vulnerability in a particular configuration setting field of Hitachi Energy TXpert Hub CoreTec 4 product, allows an attacker|A vulnerability exists in the file upload validation part of Hitachi Energy TXpert Hub CoreTec 4 product. The vulnerability allows an attacker or mali"
hub,cisco:secure_email_gateway,gateway,4,,broad-token|non-consumer-vendor,CVE-2022-20867|CVE-2022-20868|CVE-2022-20942,"A vulnerability in web-based management interface of the of Cisco Email Security Appliance and Cisco Secure Email and Web Manager could allow an authe|A vulnerability in the web-based management interface of Cisco Email Security Appliance, Cisco Secure Email and Web Manager and Cisco Secure Web Appli|A vulnerability in the web-based management interface of Cisco Email Security Appliance (ESA), Cisco Secure Email and Web Manager, and Cisco Secure We"
hub,lenovo:thinksmart_hub_teams_firmware,hub,4,gameconsoles|smartspeakers,non-consumer-vendor,CVE-2022-40134|CVE-2022-40135|CVE-2022-40136,An information leak vulnerability in the SMI Set BIOS Password SMI Handler in some Lenovo models may allow an attacker with local access and elevated |An information leak vulnerability in the Smart USB Protection SMI Handler in some Lenovo models may allow an attacker with local access and elevated p|An information leak vulnerability in SMI Handler used to configure platform settings over WMI in some Lenovo models may allow an attacker with local a
hub,lenovo:thinksmart_hub_teams,hub,4,gameconsoles|smartspeakers,non-consumer-vendor,CVE-2022-40134|CVE-2022-40135|CVE-2022-40136,An information leak vulnerability in the SMI Set BIOS Password SMI Handler in some Lenovo models may allow an attacker with local access and elevated |An information leak vulnerability in the Smart USB Protection SMI Handler in some Lenovo models may allow an attacker with local access and elevated p|An information leak vulnerability in SMI Handler used to configure platform settings over WMI in some Lenovo models may allow an attacker with local a
hub,lenovo:thinksmart_hub_zoom_firmware,hub,4,gameconsoles|smartspeakers,non-consumer-vendor,CVE-2022-40134|CVE-2022-40135|CVE-2022-40136,An information leak vulnerability in the SMI Set BIOS Password SMI Handler in some Lenovo models may allow an attacker with local access and elevated |An information leak vulnerability in the Smart USB Protection SMI Handler in some Lenovo models may allow an attacker with local access and elevated p|An information leak vulnerability in SMI Handler used to configure platform settings over WMI in some Lenovo models may allow an attacker with local a
hub,lenovo:thinksmart_hub_zoom,hub,4,gameconsoles|smartspeakers,non-consumer-vendor,CVE-2022-40134|CVE-2022-40135|CVE-2022-40136,An information leak vulnerability in the SMI Set BIOS Password SMI Handler in some Lenovo models may allow an attacker with local access and elevated |An information leak vulnerability in the Smart USB Protection SMI Handler in some Lenovo models may allow an attacker with local access and elevated p|An information leak vulnerability in SMI Handler used to configure platform settings over WMI in some Lenovo models may allow an attacker with local a
hub,dell:edge_gateway_5200_firmware,gateway,4,doorlock,broad-token|non-consumer-vendor,CVE-2023-32467|CVE-2023-32472|CVE-2023-32471,"Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds write vulnerability. A local authenticated malicious user with high privileg|Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds write vulnerability. A local authenticated malicious user with high privileg|Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds read vulnerability. A local authenticated malicious user with high privilege"
