Source File,Source Sheet,CVE,CVSS,CVSS Severity,CWE,CWE Name,Description
CategoryI_SmartHomeDeviceTypes.xlsx,smart device,CVE-2025-3442,,,CWE-312,CWE-312,This vulnerability exists in TP-Link Tapo H200 V1  IoT Smart Hub due to storage of Wi-Fi credentials in plain text within the device firmware. An attacker with physical access could exploit this by extracting the firmware and analyzing the binary data to obtain the Wi-Fi credentials stored on the vulnerable device.
CategoryI_SmartHomeDeviceTypes.xlsx,smart hub,CVE-2025-3442,,,CWE-312,CWE-312,This vulnerability exists in TP-Link Tapo H200 V1  IoT Smart Hub due to storage of Wi-Fi credentials in plain text within the device firmware. An attacker with physical access could exploit this by extracting the firmware and analyzing the binary data to obtain the Wi-Fi credentials stored on the vulnerable device.
CategoryVIII_ProtocolDeviceTypes.xlsx,smart home,CVE-2023-31761,7.5,HIGH,CWE-294,CWE-294,Weak security in the transmitter of Blitzwolf BW-IS22 Smart Home Security Alarm v1.0 allows attackers to gain full access to the system via a code replay attack.
CategoryVIII_ProtocolDeviceTypes.xlsx,home automation,CVE-2013-6948,7.8,HIGH,CWE-94,CWE-94,"The peerAddresses API in the Belkin WeMo Home Automation firmware before 3949 allows remote attackers to read arbitrary files via an XML document containing an external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue."
CategoryVIII_ProtocolDeviceTypes.xlsx,home automation,CVE-2013-6949,9.3,HIGH,CWE-264,CWE-264,"The Belkin WeMo Home Automation firmware before 3949 does not properly use the STUN and TURN protocols, which allows remote attackers to hijack connections and possibly have unspecified other impact by leveraging access to a single WeMo device."
CategoryVIII_ProtocolDeviceTypes.xlsx,home automation,CVE-2013-6950,7.8,HIGH,CWE-310,CWE-310,"The Belkin WeMo Home Automation firmware before 3949 does not use SSL for the distribution feed, which allows man-in-the-middle attackers to install arbitrary firmware by spoofing a distribution server."
CategoryVIII_ProtocolDeviceTypes.xlsx,home automation,CVE-2013-6951,7.1,HIGH,CWE-310,CWE-310,"The Belkin WeMo Home Automation firmware before 3949 does not maintain a set of Certification Authority public keys, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary X.509 certificate."
CategoryVIII_ProtocolDeviceTypes.xlsx,home automation,CVE-2013-6952,10.0,HIGH,CWE-310,CWE-310,"The Belkin WeMo Home Automation firmware before 3949 has a hardcoded GPG key, which makes it easier for remote attackers to spoof firmware updates and execute arbitrary code via crafted signed data."
CategoryVIII_ProtocolDeviceTypes.xlsx,home automation,CVE-2021-21266,6.4,MEDIUM,CWE-611,CWE-611,"openHAB is a vendor and technology agnostic open source automation software for your home. In openHAB before versions 2.5.12 and 3.0.1 the XML external entity (XXE) attack allows attackers in the same network as the openHAB instance to retrieve internal information like the content of files from the file system. Responses to SSDP requests can be especially malicious. All add-ons that use SAX or JAXB parsing of externally received XML are potentially subject to this kind of attack. In openHAB, the following add-ons are potentially impacted: AvmFritz, BoseSoundtouch, DenonMarantz, DLinkSmarthome, Enigma2, FmiWeather, FSInternetRadio, Gce, Homematic, HPPrinter, IHC, Insteon, Onkyo, Roku, SamsungTV, Sonos, Roku, Tellstick, TR064, UPnPControl, Vitotronic, Wemo, YamahaReceiver and XPath Tranformation. The vulnerabilities have been fixed in versions 2.5.12 and 3.0.1 by a more strict configuration of the used XML parser."
CategoryVIII_ProtocolDeviceTypes.xlsx,mqtt,CVE-2024-46549,7.6,HIGH,CWE-269,CWE-269,An issue in the TP-Link MQTT Broker and API gateway of TP-Link Kasa KP125M v1.0.3 allows attackers to establish connections by impersonating devices owned by other users.
CategoryVII_HubDeviceTypes.xlsx,smart hub,CVE-2025-3442,,,CWE-312,CWE-312,This vulnerability exists in TP-Link Tapo H200 V1  IoT Smart Hub due to storage of Wi-Fi credentials in plain text within the device firmware. An attacker with physical access could exploit this by extracting the firmware and analyzing the binary data to obtain the Wi-Fi credentials stored on the vulnerable device.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2011-2150,5.0,MEDIUM,CWE-20,CWE-20,"The SmarterTools SmarterStats 6.0 web server does not properly validate string data that is intended for storage in an XML document, which allows remote attackers to cause a denial of service (parsing error and daemon pause) via vectors involving (1) certain cookies in a SiteInfoLookup action to Admin/frmSites.aspx, or certain (2) cookies or (3) parameters to (a) Client/frmViewOverviewReport.aspx, (b) Client/frmViewReports.aspx, or (c) Services/SiteAdmin.asmx, as demonstrated by a ]]>> string, related to an ""XML injection"" issue."
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2015-4080,6.8,MEDIUM,CWE-310,CWE-310,"The Kankun Smart Socket device and mobile application uses a hardcoded AES 256 bit key, which makes it easier for remote attackers to (1) obtain sensitive information by sniffing the network and (2) obtain access to the device by encrypting messages."
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2019-12780,9.8,CRITICAL,CWE-78,CWE-78,The Belkin Wemo Enabled Crock-Pot allows command injection in the Wemo UPnP API via the SmartDevURL argument to the SetSmartDevInfo action. A simple POST request to /upnp/control/basicevent1 can allow an attacker to execute commands without authentication.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2021-3774,7.4,HIGH,CWE-319,CWE-319,"Meross Smart Wi-Fi 2 Way Wall Switch (MSS550X), on its 3.1.3 version and before, creates an open Wi-Fi Access Point without the required security measures in its initial setup. This could allow a remote attacker to obtain the Wi-Fi SSID as well as the password configured by the user from Meross app via Http/JSON plain request."
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2023-31761,7.5,HIGH,CWE-294,CWE-294,Weak security in the transmitter of Blitzwolf BW-IS22 Smart Home Security Alarm v1.0 allows attackers to gain full access to the system via a code replay attack.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2025-3442,,,CWE-312,CWE-312,This vulnerability exists in TP-Link Tapo H200 V1  IoT Smart Hub due to storage of Wi-Fi credentials in plain text within the device firmware. An attacker with physical access could exploit this by extracting the firmware and analyzing the binary data to obtain the Wi-Fi credentials stored on the vulnerable device.
CategoryVI_SwitchDeviceTypes.xlsx,smart plug,CVE-2018-6692,10.0,CRITICAL,CWE-787,CWE-787,Stack-based Buffer Overflow vulnerability in libUPnPHndlr.so in Belkin Wemo Insight Smart Plug allows remote attackers to bypass local security protection via a crafted HTTP post packet.
CategoryVI_SwitchDeviceTypes.xlsx,smart plug,CVE-2023-33768,6.5,MEDIUM,CWE-347,CWE-347,Incorrect signature verification of the firmware during the Device Firmware Update process of Belkin Wemo Smart Plug WSP080 v1.2 allows attackers to cause a Denial of Service (DoS) via a crafted firmware file.
CategoryVI_SwitchDeviceTypes.xlsx,smart outlet,CVE-2023-27217,9.8,CRITICAL,CWE-787,CWE-787,A stack-based buffer overflow in the ChangeFriendlyName() function of Belkin Smart Outlet V2 F7c063 firmware_2.00.11420.OWRT.PVT_SNSV2 allows attackers to cause a Denial of Service (DoS) via a crafted UPNP request.
CategoryVI_SwitchDeviceTypes.xlsx,smart socket,CVE-2015-4080,6.8,MEDIUM,CWE-310,CWE-310,"The Kankun Smart Socket device and mobile application uses a hardcoded AES 256 bit key, which makes it easier for remote attackers to (1) obtain sensitive information by sniffing the network and (2) obtain access to the device by encrypting messages."
CategoryVI_SwitchDeviceTypes.xlsx,smart switch,CVE-2021-3774,7.4,HIGH,CWE-319,CWE-319,"Meross Smart Wi-Fi 2 Way Wall Switch (MSS550X), on its 3.1.3 version and before, creates an open Wi-Fi Access Point without the required security measures in its initial setup. This could allow a remote attacker to obtain the Wi-Fi SSID as well as the password configured by the user from Meross app via Http/JSON plain request."
CategoryVI_SwitchDeviceTypes.xlsx,smart bulb,CVE-2023-38906,6.5,MEDIUM,NVD-CWE-noinfo,NVD-CWE-noinfo,"An issue in TPLink Smart Bulb Tapo series L530 1.1.9, L510E 1.0.8, L630 1.0.3, P100 1.4.9, Smart Camera Tapo series C200 1.1.18, and Tapo Application 2.8.14 allows a remote attacker to obtain sensitive information via the authentication code for the UDP message."
CategoryVI_SwitchDeviceTypes.xlsx,smart bulb,CVE-2023-38908,6.5,MEDIUM,NVD-CWE-noinfo,NVD-CWE-noinfo,"An issue in TPLink Smart Bulb Tapo series L530 before 1.2.4, L510E before 1.1.0, L630 before 1.0.4, P100 before 1.5.0, and Tapo Application 2.8.14 allows a remote attacker to obtain sensitive information via the TSKEP authentication function."
CategoryVI_SwitchDeviceTypes.xlsx,smart bulb,CVE-2023-38909,6.5,MEDIUM,NVD-CWE-noinfo,NVD-CWE-noinfo,"An issue in TPLink Smart Bulb Tapo series L530 before 1.2.4, L510E before 1.1.0, L630 before 1.0.4, P100 before 1.5.0, and Tapo Application 2.8.14 allows a remote attacker to obtain sensitive information via the IV component in the AES128-CBC function."
CategoryVI_SwitchDeviceTypes.xlsx,smart bulb,CVE-2023-38907,7.5,HIGH,NVD-CWE-noinfo,NVD-CWE-noinfo,"An issue in TPLink Smart Bulb Tapo series L530 before 1.2.4, L510E before 1.1.0, L630 before 1.0.4, P100 before 1.5.0, and Tapo Application 2.8.14 allows a remote attacker to replay old messages encrypted with a still valid session key."
CategoryV_SensorDeviceTypes.xlsx,smart alarm,CVE-2023-31761,7.5,HIGH,CWE-294,CWE-294,Weak security in the transmitter of Blitzwolf BW-IS22 Smart Home Security Alarm v1.0 allows attackers to gain full access to the system via a code replay attack.
CategoryV_SensorDeviceTypes.xlsx,home alarm,CVE-2023-31761,7.5,HIGH,CWE-294,CWE-294,Weak security in the transmitter of Blitzwolf BW-IS22 Smart Home Security Alarm v1.0 allows attackers to gain full access to the system via a code replay attack.
CategoryV_SensorDeviceTypes.xlsx,thermostat,CVE-2023-46892,8.8,HIGH,CWE-294,CWE-294,"The radio frequency communication protocol being used by Meross MSH30Q 4.5.23 is vulnerable to replay attacks, allowing attackers to record and replay previously captured communication to execute unauthorized commands or actions (e.g., thermostat's temperature)."
