Source File,Source Sheet,CVE,CVSS,CVSS Severity,CWE,CWE Name,Description
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2025-55634,7.5,HIGH,CWE-400,CWE-400,Incorrect access control in the RTMP server settings of Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows unauthorized attackers to cause a Denial of Service (DoS) via initiating a large number of simultaneous ffmpeg-based stream pushes.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2025-64983,8.0,HIGH,CWE-489,CWE-489,Smart Video Doorbell firmware versions prior to 2.01.078 contain an active debug code vulnerability that allows an attacker to connect via Telnet and gain access to the device.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2021-47706,,,CWE-565,CWE-565,COMMAX Biometric Access Control System 1.0.0 contains an authentication bypass vulnerability that allows unauthenticated attackers to access sensitive information and circumvent physical controls in smart homes and buildings by exploiting cookie poisoning. Attackers can forge cookies to bypass authentication and disclose sensitive information.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2021-47708,,,CWE-89,CWE-89,COMMAX Smart Home System CDP-1020n contains an SQL injection vulnerability that allows attackers to bypass authentication by injecting arbitrary SQL code through the 'id' parameter in 'loginstart.asp'. Attackers can exploit this by sending a POST request with malicious 'id' values to manipulate database queries and gain unauthorized access.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2021-47710,,,CWE-306,CWE-306,"COMMAX Smart Home System is a smart IoT home solution that allows an unauthenticated attacker to disclose RTSP credentials in plain-text by exploiting the /overview.asp endpoint. Attackers can access sensitive information, including login credentials and DVR settings, by submitting a GET request to this endpoint."
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2024-58336,5.3,MEDIUM,CWE-306,CWE-306,Akuvox Smart Intercom S539 contains an unauthenticated vulnerability that allows remote attackers to access live video streams by requesting the video.cgi endpoint on port 8080. Attackers can retrieve video stream data without authentication by directly accessing the specified endpoint on affected Akuvox doorphone and intercom devices.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2024-58337,4.3,MEDIUM,CWE-862,CWE-862,Akuvox Smart Intercom S539 contains an improper access control vulnerability that allows users with 'User' privileges to modify API access settings and configurations. Attackers can exploit this vulnerability to escalate privileges and gain unauthorized access to administrative functionalities.
CategoryVI_SwitchDeviceTypes.xlsx,smart plug,CVE-2025-55626,5.3,MEDIUM,CWE-284,CWE-284,An Insecure Direct Object Reference (IDOR) vulnerability in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows unauthorized attackers to access the Admin-only settings and edit the session storage.
CategoryVI_SwitchDeviceTypes.xlsx,smart plug,CVE-2025-55627,5.3,MEDIUM,CWE-269,CWE-269,Insufficient privilege verification in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows authenticated attackers to create accounts with elevated privileges.
CategoryVI_SwitchDeviceTypes.xlsx,smart plug,CVE-2025-55629,6.5,MEDIUM,CWE-378,CWE-378,Insecure permissions in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allow attackers to arbitrarily change other users' passwords via manipulation of the userName value.
CategoryVI_SwitchDeviceTypes.xlsx,smart plug,CVE-2025-55630,7.3,HIGH,CWE-284,CWE-284,A discrepancy in the error message returned by the login function of Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 when entering the wrong username and password allows attackers to enumerate existing accounts.
CategoryVI_SwitchDeviceTypes.xlsx,smart plug,CVE-2025-55631,4.0,MEDIUM,CWE-400,CWE-400,"Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 was discovered to manage users' sessions system wide instead of an account-by-account basis, potentially leading to a Denial of Service (DoS) via resource exhaustion. NOTE: the Supplier reports that the system-wide limit is intentional."
CategoryVI_SwitchDeviceTypes.xlsx,smart plug,CVE-2025-55634,7.5,HIGH,CWE-400,CWE-400,Incorrect access control in the RTMP server settings of Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows unauthorized attackers to cause a Denial of Service (DoS) via initiating a large number of simultaneous ffmpeg-based stream pushes.
CategoryVI_SwitchDeviceTypes.xlsx,smart plug,CVE-2025-55637,9.8,CRITICAL,CWE-77,CWE-77,Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 was discovered to contain a command injection vulnerability via the setddns_pip_system() function.
