iri	vocabulary
https://saref.etsi.org/saref4bldg/ProtectiveDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/ProtectiveDeviceTrippingUnit	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Pump	SAREF4BLDG
https://saref.etsi.org/saref4bldg/SanitaryTerminal	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Sensor	SAREF4BLDG
https://saref.etsi.org/saref4bldg/ShadingDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/SolarDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/SpaceHeater	SAREF4BLDG
https://saref.etsi.org/saref4bldg/SwitchingDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Tank	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Transformer	SAREF4BLDG
https://saref.etsi.org/saref4bldg/TransportElement	SAREF4BLDG
https://saref.etsi.org/saref4bldg/TubeBundle	SAREF4BLDG
https://saref.etsi.org/saref4bldg/UnitaryControlElement	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Valve	SAREF4BLDG
https://saref.etsi.org/saref4bldg/VibrationIsolator	SAREF4BLDG
https://saref.etsi.org/saref4city/AccessibilityConcept	SAREF4CITY
https://saref.etsi.org/saref4city/AdministrativeArea	SAREF4CITY
https://saref.etsi.org/saref4city/Agent	SAREF4CITY
https://saref.etsi.org/saref4city/City	SAREF4CITY
https://saref.etsi.org/saref4city/CityObject	SAREF4CITY
https://saref.etsi.org/saref4city/Country	SAREF4CITY
https://saref.etsi.org/saref4city/District	SAREF4CITY
https://saref.etsi.org/saref4city/Event	SAREF4CITY
https://saref.etsi.org/saref4city/Facility	SAREF4CITY
https://saref.etsi.org/saref4city/KeyPerformanceIndicator	SAREF4CITY
https://saref.etsi.org/saref4city/KeyPerformanceIndicatorAssessment	SAREF4CITY
https://saref.etsi.org/saref4city/Neighbourhood	SAREF4CITY
https://saref.etsi.org/saref4city/PublicAdministration	SAREF4CITY
https://saref.etsi.org/saref4city/PublicService	SAREF4CITY
https://saref.etsi.org/saref4ehaw/Activity	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/Ban	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/BanApplicationTask	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/BanHub	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/Caregiver	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/CommunicationInterface	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/CommunicationNetwork	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/CommunicationProtocol	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/DailyActivity	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/FunctionalDevice	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/HealthActor	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/HealthActuator	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/HealthDevice	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/HealthSensor	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/HealthWearable	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/Helper	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/NocturnalActivity	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/ObservationCollectionExecution	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/Patient	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/ResponsibleParty	SAREF4EHAW
https://saref.etsi.org/saref4ehaw/User	SAREF4EHAW
https://saref.etsi.org/saref4ener/ActivationDelayDurationDescription	SAREF4ENER
https://saref.etsi.org/saref4ener/ActiveDurationDescription	SAREF4ENER
https://saref.etsi.org/saref4ener/ActiveDurationMax	SAREF4ENER
https://saref.etsi.org/saref4ener/ActiveDurationMin	SAREF4ENER
https://saref.etsi.org/saref4ener/ActiveDurationSumMax	SAREF4ENER
https://saref.etsi.org/saref4ener/ActiveDurationSumMin	SAREF4ENER
https://saref.etsi.org/saref4ener/ActuatorLevel	SAREF4ENER
https://saref.etsi.org/saref4ener/ActuatorSwitch	SAREF4ENER
https://saref.etsi.org/saref4ener/AllowedLimitRange	SAREF4ENER
https://saref.etsi.org/saref4ener/AlternativesGroup	SAREF4ENER
https://saref.etsi.org/saref4ener/AnticipationDurationDescription	SAREF4ENER
https://saref.etsi.org/saref4ener/CommodityQuantity	SAREF4ENER
https://saref.etsi.org/saref4ener/ContractualPowerLimit	SAREF4ENER
https://saref.etsi.org/saref4ener/DDBCInstruction	SAREF4ENER
https://saref.etsi.org/saref4ener/DataPoint	SAREF4ENER
https://saref.etsi.org/saref4ener/DefaultDuration	SAREF4ENER
https://saref.etsi.org/saref4ener/DefaultDurationDescription	SAREF4ENER
https://saref.etsi.org/saref4ener/DemandDrivenProfile	SAREF4ENER
https://saref.etsi.org/saref4ener/Device	SAREF4ENER
https://saref.etsi.org/saref4ener/DurationUncertainty	SAREF4ENER
https://saref.etsi.org/saref4ener/DurationUncertaintyDescription	SAREF4ENER
https://saref.etsi.org/saref4ener/EarliestStartTime	SAREF4ENER
https://saref.etsi.org/saref4ener/ElapsedSlotTime	SAREF4ENER
https://saref.etsi.org/saref4ener/EndInterruptionInstruction	SAREF4ENER
https://saref.etsi.org/saref4ener/EndTime	SAREF4ENER
https://saref.etsi.org/saref4ener/EndTimeDurationDescription	SAREF4ENER
https://saref.etsi.org/saref4ener/Energy	SAREF4ENER
https://saref.etsi.org/saref4ener/EnergyConstraint	SAREF4ENER
https://saref.etsi.org/saref4ener/EnergyExpected	SAREF4ENER
https://saref.etsi.org/saref4ener/EnergyMax	SAREF4ENER
https://saref.etsi.org/saref4ener/EnergyMin	SAREF4ENER
https://saref.etsi.org/saref4ener/EnergySkewness	SAREF4ENER
https://saref.etsi.org/saref4ener/EnergyStandardDeviation	SAREF4ENER
https://saref.etsi.org/saref4ener/EventActionConsume	SAREF4ENER
https://saref.etsi.org/saref4ener/EventActionProduce	SAREF4ENER
https://saref.etsi.org/saref4ener/EventStateConsume	SAREF4ENER
https://saref.etsi.org/saref4ener/EventStateProduce	SAREF4ENER
https://saref.etsi.org/saref4ener/FRBCInstruction	SAREF4ENER
https://saref.etsi.org/saref4ener/FailsafePowerLimit	SAREF4ENER
https://saref.etsi.org/saref4ener/FailsafeState	SAREF4ENER
https://saref.etsi.org/saref4ener/FillLevelTargetProfile	SAREF4ENER
https://saref.etsi.org/saref4ener/FillLevelTargetProfileElement	SAREF4ENER
https://saref.etsi.org/saref4ener/FillRateProfile	SAREF4ENER
https://saref.etsi.org/saref4ener/FlexOffer	SAREF4ENER
https://saref.etsi.org/saref4ener/FlexRequest	SAREF4ENER
https://saref.etsi.org/saref4ener/FlexibilityInstruction	SAREF4ENER
https://saref.etsi.org/saref4ener/FlexibilityProfile	SAREF4ENER
https://saref.etsi.org/saref4ener/GaussianDataPoint	SAREF4ENER
https://saref.etsi.org/saref4ener/Incentive	SAREF4ENER
https://saref.etsi.org/saref4ener/IncentiveTableBasedProfile	SAREF4ENER
https://saref.etsi.org/saref4ener/IncentiveTableSlot	SAREF4ENER
https://saref.etsi.org/saref4ener/IncentiveTableTier	SAREF4ENER
https://saref.etsi.org/saref4ener/IncentiveType	SAREF4ENER
https://saref.etsi.org/saref4ener/InstructionStatus	SAREF4ENER
https://saref.etsi.org/saref4ener/InterruptionInstruction	SAREF4ENER
https://saref.etsi.org/saref4ener/LatestEndTime	SAREF4ENER
https://saref.etsi.org/saref4ener/LeakageBehaviour	SAREF4ENER
https://saref.etsi.org/saref4ener/LeakageBehaviourElement	SAREF4ENER
https://saref.etsi.org/saref4ener/LoadControlEventAction	SAREF4ENER
https://saref.etsi.org/saref4ener/LoadControlEventData	SAREF4ENER
https://saref.etsi.org/saref4ener/LoadControlEventState	SAREF4ENER
https://saref.etsi.org/saref4ener/LoadControlStateData	SAREF4ENER
https://saref.etsi.org/saref4ener/MaxActivationDelay	SAREF4ENER
https://saref.etsi.org/saref4ener/MaxAnticipation	SAREF4ENER
https://saref.etsi.org/saref4ener/MaxDuration	SAREF4ENER
https://saref.etsi.org/saref4ener/MinDuration	SAREF4ENER
https://saref.etsi.org/saref4ener/NominalPowerLimit	SAREF4ENER
https://saref.etsi.org/saref4ener/NumberRange	SAREF4ENER
https://saref.etsi.org/saref4ener/OMBCInstruction	SAREF4ENER
https://saref.etsi.org/saref4ener/OperationMode	SAREF4ENER
https://saref.etsi.org/saref4ener/OperationModeElement	SAREF4ENER
https://saref.etsi.org/saref4ener/OperationModeProfile	SAREF4ENER
https://saref.etsi.org/saref4ener/PEBCInstruction	SAREF4ENER
https://saref.etsi.org/saref4ener/PPBCInstruction	SAREF4ENER
https://saref.etsi.org/saref4ener/PauseDurationDescription	SAREF4ENER
https://saref.etsi.org/saref4ener/PauseDurationMax	SAREF4ENER
https://saref.etsi.org/saref4ener/PauseDurationMin	SAREF4ENER
https://saref.etsi.org/saref4ener/PauseTime	SAREF4ENER
